Year,Sex,Age Group,Aboriginal status,Region,Population
1986,Male,0-,Aboriginal,Greater Darwin,396
1986,Male,5-,Aboriginal,Greater Darwin,396
1986,Male,10-,Aboriginal,Greater Darwin,498
1986,Male,15-,Aboriginal,Greater Darwin,385
1986,Male,20-,Aboriginal,Greater Darwin,253
1986,Male,25-,Aboriginal,Greater Darwin,242
1986,Male,30-,Aboriginal,Greater Darwin,155
1986,Male,35-,Aboriginal,Greater Darwin,168
1986,Male,40-,Aboriginal,Greater Darwin,131
1986,Male,45-,Aboriginal,Greater Darwin,103
1986,Male,50-,Aboriginal,Greater Darwin,46
1986,Male,55-,Aboriginal,Greater Darwin,33
1986,Male,60-,Aboriginal,Greater Darwin,24
1986,Male,65-,Aboriginal,Greater Darwin,11
1986,Male,70-,Aboriginal,Greater Darwin,8
1986,Male,75-,Aboriginal,Greater Darwin,3
1986,Male,80-,Aboriginal,Greater Darwin,1
1986,Male,85+,Aboriginal,Greater Darwin,1
1986,Male,0-,Non-Aboriginal,Greater Darwin,3720
1986,Male,5-,Non-Aboriginal,Greater Darwin,3475
1986,Male,10-,Non-Aboriginal,Greater Darwin,3613
1986,Male,15-,Non-Aboriginal,Greater Darwin,3339
1986,Male,20-,Non-Aboriginal,Greater Darwin,4389
1986,Male,25-,Non-Aboriginal,Greater Darwin,4586
1986,Male,30-,Non-Aboriginal,Greater Darwin,4424
1986,Male,35-,Non-Aboriginal,Greater Darwin,4513
1986,Male,40-,Non-Aboriginal,Greater Darwin,3346
1986,Male,45-,Non-Aboriginal,Greater Darwin,2302
1986,Male,50-,Non-Aboriginal,Greater Darwin,1552
1986,Male,55-,Non-Aboriginal,Greater Darwin,1225
1986,Male,60-,Non-Aboriginal,Greater Darwin,776
1986,Male,65-,Non-Aboriginal,Greater Darwin,466
1986,Male,70-,Non-Aboriginal,Greater Darwin,304
1986,Male,75-,Non-Aboriginal,Greater Darwin,174
1986,Male,80-,Non-Aboriginal,Greater Darwin,66
1986,Male,85+,Non-Aboriginal,Greater Darwin,27
1986,Female,0-,Aboriginal,Greater Darwin,382
1986,Female,5-,Aboriginal,Greater Darwin,333
1986,Female,10-,Aboriginal,Greater Darwin,416
1986,Female,15-,Aboriginal,Greater Darwin,367
1986,Female,20-,Aboriginal,Greater Darwin,302
1986,Female,25-,Aboriginal,Greater Darwin,244
1986,Female,30-,Aboriginal,Greater Darwin,216
1986,Female,35-,Aboriginal,Greater Darwin,202
1986,Female,40-,Aboriginal,Greater Darwin,126
1986,Female,45-,Aboriginal,Greater Darwin,94
1986,Female,50-,Aboriginal,Greater Darwin,44
1986,Female,55-,Aboriginal,Greater Darwin,25
1986,Female,60-,Aboriginal,Greater Darwin,23
1986,Female,65-,Aboriginal,Greater Darwin,20
1986,Female,70-,Aboriginal,Greater Darwin,10
1986,Female,75-,Aboriginal,Greater Darwin,9
1986,Female,80-,Aboriginal,Greater Darwin,6
1986,Female,85+,Aboriginal,Greater Darwin,2
1986,Female,0-,Non-Aboriginal,Greater Darwin,3567
1986,Female,5-,Non-Aboriginal,Greater Darwin,3222
1986,Female,10-,Non-Aboriginal,Greater Darwin,3445
1986,Female,15-,Non-Aboriginal,Greater Darwin,3356
1986,Female,20-,Non-Aboriginal,Greater Darwin,3919
1986,Female,25-,Non-Aboriginal,Greater Darwin,4359
1986,Female,30-,Non-Aboriginal,Greater Darwin,4088
1986,Female,35-,Non-Aboriginal,Greater Darwin,3663
1986,Female,40-,Non-Aboriginal,Greater Darwin,2599
1986,Female,45-,Non-Aboriginal,Greater Darwin,1665
1986,Female,50-,Non-Aboriginal,Greater Darwin,1129
1986,Female,55-,Non-Aboriginal,Greater Darwin,842
1986,Female,60-,Non-Aboriginal,Greater Darwin,676
1986,Female,65-,Non-Aboriginal,Greater Darwin,449
1986,Female,70-,Non-Aboriginal,Greater Darwin,289
1986,Female,75-,Non-Aboriginal,Greater Darwin,169
1986,Female,80-,Non-Aboriginal,Greater Darwin,86
1986,Female,85+,Non-Aboriginal,Greater Darwin,75
1987,Male,0-,Aboriginal,Greater Darwin,423
1987,Male,5-,Aboriginal,Greater Darwin,421
1987,Male,10-,Aboriginal,Greater Darwin,512
1987,Male,15-,Aboriginal,Greater Darwin,406
1987,Male,20-,Aboriginal,Greater Darwin,274
1987,Male,25-,Aboriginal,Greater Darwin,275
1987,Male,30-,Aboriginal,Greater Darwin,182
1987,Male,35-,Aboriginal,Greater Darwin,188
1987,Male,40-,Aboriginal,Greater Darwin,153
1987,Male,45-,Aboriginal,Greater Darwin,112
1987,Male,50-,Aboriginal,Greater Darwin,49
1987,Male,55-,Aboriginal,Greater Darwin,32
1987,Male,60-,Aboriginal,Greater Darwin,26
1987,Male,65-,Aboriginal,Greater Darwin,12
1987,Male,70-,Aboriginal,Greater Darwin,10
1987,Male,75-,Aboriginal,Greater Darwin,3
1987,Male,80-,Aboriginal,Greater Darwin,1
