Name,Physical Address,Region,Sector,Is FAFT School,Is Pre School,Is Primary School,Is Middle School,Is Senior School,latitude,longitude
Alawa Pre School,"27 Pett St, Alawa, NT",Darwin,,No,Yes,No,No,No,-12.379972,130.876298
Alawa Primary School,"27 Pett Street, Alawa, 0810, NT",Darwin,Government,No,Yes,Yes,No,No,-12.379972,130.876298
Anula Pre School,"73 Yanyula Dr, Anula, NT",Darwin,,No,Yes,No,No,No,-12.3911277,130.8934829
Anula Primary School,"73 Yanyula Dr, Anula, 0812, NT",Darwin,Government,No,Yes,Yes,No,No,-12.3911277,130.8934829
Casuarina Senior College,"61 Parer Dr, Moil, 0810, NT",Darwin,Government,No,No,No,No,Yes,-12.3835781,130.8789771
Darwin High School,"10 Atkins Dr, The Gardens, 0820, NT",Darwin,Government,No,No,No,No,Yes,-12.4393329,130.8343074
Darwin Languages Centre,"1 Nemarluk Dr, Ludmilla, NT, NT",Darwin,Government,No,No,No,No,No,-12.4225979,130.8556974
Darwin Middle School,"Atkins Drive, The Gardens, NT 0820, not available, NT",Darwin,Government,No,No,No,Yes,No,-12.4405491,130.8353484
Dripstone Middle School,"10 Delamere St, Tiwi, 0810, NT",Darwin,Government,No,No,No,Yes,No,-12.3666022,130.8831508
Essington School,"22 Chapman Rd, Rapid Creek, NT",Darwin,Independent,No,Yes,Yes,Yes,Yes,-12.3822553,130.8571906
Family as First Teachers,"Mitchell St, Darwin, 0800, NT",Darwin,Government,No,Yes,Yes,No,No,-12.4596384,130.8362262
Good Shepherd - Leanyer Campus,"94 Leanyer Drive, Leanyer, NT",Darwin,Independent,No,Yes,Yes,No,No,-12.3739374,130.8990294
Haileybury Rendall School,"6057 Berrimah Road, Berrimah, NT",Darwin,Independent,No,No,No,Yes,Yes,-12.4429304,130.9229786
Henbury School,"11 Henbury Avenue, Tiwi, 0810, NT",Darwin,Government,No,No,No,Yes,Yes,-12.3679973,130.8840788
Holy Family Catholic School,"Calytrix Road, Karama, NT",Darwin,Catholic,No,No,Yes,No,No,-12.3946461,130.9118506
Holy Spirit Catholic School,"Gsell Street, Casuarina, NT",Darwin,Catholic,No,No,Yes,No,No,-12.3735313,130.8856786
Jingili Preschool,"10 Jingili Tce, Jingili, NT",Darwin,,No,Yes,No,No,No,-12.3890957,130.8762393
Jingili Primary School,"17 Rindberg St, Jingili, 0810, NT",Darwin,Government,No,Yes,Yes,No,No,-12.387197,130.874235
Karama Pre School,"37 Livistona Rd, Karama, NT",Darwin,,No,Yes,No,No,No,-12.3977472,130.914722
Karama Primary School,"37 Livistona Rd, Karama, 0812, NT",Darwin,Government,No,Yes,Yes,No,No,-12.3977472,130.914722
Larrakeyah Pre School,"3 Packard St, Larrakeyah, NT",Darwin,,No,Yes,No,No,No,-12.4573463,130.8296204
Larrakeyah Primary School,"3 Packard St, Larrakeyah, 0820, NT",Darwin,Government,No,Yes,Yes,No,No,-12.4573463,130.8296204
Leanyer Pre School,"114 Leanyer Dr, Leanyer, NT",Darwin,,No,Yes,No,No,No,-12.3748207,130.8997537
Leanyer Primary School,"114 Leanyer Drive,, Leanyer, 0812, NT",Darwin,Government,No,Yes,Yes,No,No,-12.3748207,130.8997537
Ludmilla Pre School,"41 Bagot Rd, Ludmilla, NT",Darwin,,No,Yes,No,No,No,-12.4249429,130.8550653
Ludmilla Primary School,"41 Bagot Rd, Ludmilla, 0820, NT",Darwin,Government,Yes,Yes,Yes,No,No,-12.4249429,130.8550653
Malak Pre School,"45 Malak Cres, Malak, NT",Darwin,,No,Yes,No,No,No,-12.3916412,130.9030117
Malak Primary School,"45 Malak Cres, Malak, 0812, NT",Darwin,Government,Yes,Yes,Yes,No,No,-12.3916412,130.9030117
Manunda Terrace Pre School,"31 Manunda Tce, Karama, NT",Darwin,,No,Yes,No,No,No,-12.4033623,130.9191954
Manunda Terrace Primary School,"31 Manunda Tce, Karama, 0812, NT",Darwin,Government,No,Yes,Yes,No,No,-12.4033623,130.9191954
Marrara Christian School,"110 Amy Johnson Ave, Marrara, NT",Darwin,Christian,No,Yes,Yes,Yes,Yes,-12.409548,130.916825
Milkwood Steiner,"107 Boulter Road, Berrimah NT 0828, Marrara, NT",Darwin,Independent,No,Yes,Yes,No,No,-12.4144888,130.9224316
Millner Pre School,"41 Sabine Rd, Millner, NT",Darwin,,No,Yes,No,No,No,-12.3911367,130.8596771
Millner Primary School,"41 Sabine Rd, Millner, 0810, NT",Darwin,Government,No,Yes,Yes,No,No,-12.3911367,130.8596771
Mimik-Ga Centre,"4 Henbury Ave, Wanguri, 0810, NT",Darwin,Government,Yes,Yes,Yes,No,No,-12.3689026,130.8837432
Moil Pre School,"Moil Crescent, Moil, NT",Darwin,,No,Yes,No,No,No,-12.388306,130.8796493
Moil Primary School,"37 Lanyon Tce, Moil, 0810, NT",Darwin,Government,No,No,No,No,No,-12.387948,130.880671
Nakara Pre School,"35 Nakara Tce, Nakara, NT",Darwin,,No,Yes,No,No,No,-12.370146,130.877767
Nakara Primary School,"35 Nakara Tce, Nakara, 0810, NT",Darwin,Government,No,Yes,Yes,No,No,-12.370146,130.877767
Nemarluk School,"30 Styles St, Alawa, 0810, NT",Darwin,Government,No,Yes,Yes,No,No,-12.3796554,130.8746792
Nightcliff Middle School,"90 Aralia St, Rapid Creek, 0810, NT",Darwin,Government,No,No,No,Yes,No,-12.3781761,130.851193
