Year,Month number,Offence category,Offence type,Alcohol involvement,DV involvement,Reporting region ,Number of offences
2008,1,Abduction - harassment and other offences against the person,Threatening behaviour,No alcohol involved,Non-DV,Darwin,2
2008,1,Acts intended to cause injury,Assault,Alcohol involved,DV,Darwin,12
2008,1,Acts intended to cause injury,Assault,Alcohol involved,Non-DV,Darwin,35
2008,1,Acts intended to cause injury,Assault,No alcohol involved,DV,Darwin,9
2008,1,Acts intended to cause injury,Assault,No alcohol involved,Non-DV,Darwin,28
2008,1,Acts intended to cause injury,Assault,No alcohol involved,DV,Darwin,4
2008,1,Acts intended to cause injury,Assault,No alcohol involved,Non-DV,Darwin,5
2008,1,Acts intended to cause injury,Other acts intended to cause injury,No alcohol involved,Non-DV,Darwin,2
2008,1,Commercial break-ins,Commercial break-ins actual,No alcohol involved,Non-DV,Darwin,67
2008,1,Commercial break-ins,Commercial break-ins attempted,No alcohol involved,Non-DV,Darwin,11
2008,1,House break-ins,House break-ins actual,No alcohol involved,Non-DV,Darwin,62
2008,1,House break-ins,House break-ins attempted,No alcohol involved,Non-DV,Darwin,9
2008,1,Motor theft and related offences,Illegal use of a motor vehicle,No alcohol involved,Non-DV,Darwin,28
2008,1,Motor theft and related offences,Theft of motor vehicle parts or contents,No alcohol involved,Non-DV,Darwin,40
2008,1,Property Damage Offences,Property damage offences,No alcohol involved,Non-DV,Darwin,340
2008,1,Robbery - extortion and related offences,Robbery,No alcohol involved,Non-DV,Darwin,2
2008,1,Sexual Assault and related offences,Non-assaultive sexual offences,No alcohol involved,Non-DV,Darwin,1
2008,1,Sexual Assault and related offences,Sexual assault,No alcohol involved,Non-DV,Darwin,13
2008,1,Theft and related offences (other than MV),Theft and related offences (other than MV),No alcohol involved,Non-DV,Darwin,295
2008,2,Acts intended to cause injury,Assault,Alcohol involved,DV,Darwin,15
2008,2,Acts intended to cause injury,Assault,Alcohol involved,Non-DV,Darwin,52
2008,2,Acts intended to cause injury,Assault,No alcohol involved,DV,Darwin,7
2008,2,Acts intended to cause injury,Assault,No alcohol involved,Non-DV,Darwin,38
2008,2,Acts intended to cause injury,Assault,No alcohol involved,DV,Darwin,3
2008,2,Acts intended to cause injury,Assault,No alcohol involved,Non-DV,Darwin,5
2008,2,Commercial break-ins,Commercial break-ins actual,No alcohol involved,Non-DV,Darwin,76
2008,2,Commercial break-ins,Commercial break-ins attempted,No alcohol involved,Non-DV,Darwin,18
2008,2,House break-ins,House break-ins actual,No alcohol involved,Non-DV,Darwin,100
2008,2,House break-ins,House break-ins attempted,No alcohol involved,Non-DV,Darwin,30
2008,2,Motor theft and related offences,Illegal use of a motor vehicle,No alcohol involved,Non-DV,Darwin,38
2008,2,Motor theft and related offences,Theft of motor vehicle parts or contents,No alcohol involved,Non-DV,Darwin,56
2008,2,Other Dangerous or negligent acts endangering persons,Other dangerous or negligent acts endangering persons,No alcohol involved,Non-DV,Darwin,2
2008,2,Property Damage Offences,Property damage offences,No alcohol involved,Non-DV,Darwin,333
2008,2,Robbery - extortion and related offences,Robbery,No alcohol involved,Non-DV,Darwin,3
2008,2,Sexual Assault and related offences,Sexual assault,No alcohol involved,Non-DV,Darwin,8
2008,2,Theft and related offences (other than MV),Theft and related offences (other than MV),No alcohol involved,Non-DV,Darwin,321
2008,3,Abduction - harassment and other offences against the person,Harassment and private nuisance,No alcohol involved,Non-DV,Darwin,1
2008,3,Abduction - harassment and other offences against the person,Threatening behaviour,No alcohol involved,Non-DV,Darwin,7
2008,3,Acts intended to cause injury,Assault,Alcohol involved,DV,Darwin,12
2008,3,Acts intended to cause injury,Assault,Alcohol involved,Non-DV,Darwin,47
2008,3,Acts intended to cause injury,Assault,No alcohol involved,DV,Darwin,8
2008,3,Acts intended to cause injury,Assault,No alcohol involved,Non-DV,Darwin,43
2008,3,Acts intended to cause injury,Assault,No alcohol involved,DV,Darwin,5
2008,3,Acts intended to cause injury,Assault,No alcohol involved,Non-DV,Darwin,17
2008,3,Acts intended to cause injury,Other acts intended to cause injury,No alcohol involved,Non-DV,Darwin,2
2008,3,Commercial break-ins,Commercial break-ins actual,No alcohol involved,Non-DV,Darwin,69
2008,3,Commercial break-ins,Commercial break-ins attempted,No alcohol involved,Non-DV,Darwin,18
2008,3,House break-ins,House break-ins actual,No alcohol involved,Non-DV,Darwin,87
2008,3,House break-ins,House break-ins attempted,No alcohol involved,Non-DV,Darwin,11
2008,3,Motor theft and related offences,Illegal use of a motor vehicle,No alcohol involved,Non-DV,Darwin,23
2008,3,Motor theft and related offences,Theft of motor vehicle parts or contents,No alcohol involved,Non-DV,Darwin,95
2008,3,Other Dangerous or negligent acts endangering persons,Other dangerous or negligent acts endangering persons,No alcohol involved,Non-DV,Darwin,2
2008,3,Property Damage Offences,Property damage offences,No alcohol involved,Non-DV,Darwin,392
2008,3,Robbery - extortion and related offences,Robbery,No alcohol involved,Non-DV,Darwin,8
2008,3,Sexual Assault and related offences,Sexual assault,No alcohol involved,Non-DV,Darwin,12
2008,3,Theft and related offences (other than MV),Theft and related offences (other than MV),No alcohol involved,Non-DV,Darwin,331
2008,4,Abduction - harassment and other offences against the person,Threatening behaviour,No alcohol involved,Non-DV,Darwin,6
2008,4,Acts intended to cause injury,Assault,Alcohol involved,DV,Darwin,23
2008,4,Acts intended to cause injury,Assault,Alcohol involved,Non-DV,Darwin,39
2008,4,Acts intended to cause injury,Assault,No alcohol involved,Non-DV,Darwin,44
2008,4,Acts intended to cause injury,Assault,No alcohol involved,DV,Darwin,7
2008,4,Acts intended to cause injury,Assault,No alcohol involved,Non-DV,Darwin,13
2008,4,Acts intended to cause injury,Other acts intended to cause injury,No alcohol involved,Non-DV,Darwin,4
2008,4,Commercial break-ins,Commercial break-ins actual,No alcohol involved,Non-DV,Darwin,73
2008,4,Commercial break-ins,Commercial break-ins attempted,No alcohol involved,Non-DV,Darwin,13
2008,4,Homicide and related Offences,Manslaughter,No alcohol involved,Non-DV,Darwin,1
2008,4,House break-ins,House break-ins actual,No alcohol involved,Non-DV,Darwin,88
2008,4,House break-ins,House break-ins attempted,No alcohol involved,Non-DV,Darwin,18
2008,4,Motor theft and related offences,Illegal use of a motor vehicle,No alcohol involved,Non-DV,Darwin,27
2008,4,Motor theft and related offences,Theft of motor vehicle parts or contents,No alcohol involved,Non-DV,Darwin,61
2008,4,Other Dangerous or negligent acts endangering persons,Other dangerous or negligent acts endangering persons,No alcohol involved,Non-DV,Darwin,2
2008,4,Property Damage Offences,Property damage offences,No alcohol involved,Non-DV,Darwin,307
2008,4,Robbery - extortion and related offences,Robbery,No alcohol involved,Non-DV,Darwin,2
2008,4,Sexual Assault and related offences,Non-assaultive sexual offences,No alcohol involved,Non-DV,Darwin,2
2008,4,Sexual Assault and related offences,Sexual assault,No alcohol involved,Non-DV,Darwin,13
2008,4,Theft and related offences (other than MV),Theft and related offences (other than MV),No alcohol involved,Non-DV,Darwin,360
2008,5,Abduction - harassment and other offences against the person,Harassment and private nuisance,No alcohol involved,Non-DV,Darwin,2
2008,5,Abduction - harassment and other offences against the person,Threatening behaviour,No alcohol involved,Non-DV,Darwin,8
2008,5,Acts intended to cause injury,Assault,Alcohol involved,DV,Darwin,20
2008,5,Acts intended to cause injury,Assault,Alcohol involved,Non-DV,Darwin,47
2008,5,Acts intended to cause injury,Assault,No alcohol involved,DV,Darwin,3
2008,5,Acts intended to cause injury,Assault,No alcohol involved,Non-DV,Darwin,32
2008,5,Acts intended to cause injury,Assault,No alcohol involved,DV,Darwin,7
2008,5,Acts intended to cause injury,Assault,No alcohol involved,Non-DV,Darwin,13
2008,5,Acts intended to cause injury,Other acts intended to cause injury,No alcohol involved,Non-DV,Darwin,2
2008,5,Commercial break-ins,Commercial break-ins actual,No alcohol involved,Non-DV,Darwin,55
2008,5,Commercial break-ins,Commercial break-ins attempted,No alcohol involved,Non-DV,Darwin,6
2008,5,Homicide and related Offences,Manslaughter,No alcohol involved,Non-DV,Darwin,1
2008,5,Homicide and related Offences,Murder,No alcohol involved,Non-DV,Darwin,1
2008,5,House break-ins,House break-ins actual,No alcohol involved,Non-DV,Darwin,32
2008,5,House break-ins,House break-ins attempted,No alcohol involved,Non-DV,Darwin,2
2008,5,Motor theft and related offences,Illegal use of a motor vehicle,No alcohol involved,Non-DV,Darwin,43
2008,5,Motor theft and related offences,Theft of motor vehicle parts or contents,No alcohol involved,Non-DV,Darwin,61
2008,5,Other Dangerous or negligent acts endangering persons,Other dangerous or negligent acts endangering persons,No alcohol involved,Non-DV,Darwin,3
2008,5,Property Damage Offences,Property damage offences,No alcohol involved,Non-DV,Darwin,316
2008,5,Robbery - extortion and related offences,Robbery,No alcohol involved,Non-DV,Darwin,4
2008,5,Sexual Assault and related offences,Non-assaultive sexual offences,No alcohol involved,Non-DV,Darwin,1
2008,5,Sexual Assault and related offences,Sexual assault,No alcohol involved,Non-DV,Darwin,13
2008,5,Theft and related offences (other than MV),Theft and related offences (other than MV),No alcohol involved,Non-DV,Darwin,284
