order_id,customer_id,date,nearest_warehouse,shopping_cart,order_price,delivery_charges,customer_lat,customer_long,coupon_discount,order_total,season,is_expedited_delivery,distance_to_nearest_warehouse,latest_customer_review,is_happy_customer
ORD225890,ID0660546015,2019-11-21,Bakers,"[('Candle Inferno', 1), ('Thunder line', 1)]",2610.0,100.82,-37.8122352,144.98987030000004,25,2058.32,Spring,True,0.5334,ok i like,1.0
ORD460359,ID1691663875,2019-12-14,Thompson,"[('Candle Inferno', 1), ('Universe Note', 2), ('Alcon 10', 2), ('Toshika 750', 2)]",33870.0,77.83,-37.8011832,144.9569261,10,30560.83,Summer,False,1.5452,five stars love this phone best phone i had,1.0
ORD237561,ID3085953483,2019-03-11,Bakers,"[('iStream', 1), ('Olivia x460', 2)]",2600.0,83.87,-37.8237281,144.98785149999995,25,2033.87,Autumn,True,1.6607,loved the phone got this as a bcakup phone but its really nice and i'm using it more often,1.0
ORD153843,ID1217532771,2019-01-02,Thompson,"[('Candle Inferno', 2), ('Olivia x460', 2), ('Alcon 10', 1), ('iStream', 1)]",12410.0,91.83,-37.81832720000001,144.94863859999995,10,11260.83,Summer,True,0.6443,make a great phone greater and do yourself a favor make a great phone greater and do yourself a favor. aug and tech armor ballistic glass screen protector. done.....no worries.,1.0
ORD441762,ID4294474616,2019-02-17,Nickolson,"[('Lucent 330S', 2), ('iAssist Line', 1), ('iStream', 2), ('Candle Inferno', 2)]",5845.0,87.12,-37.803216600000006,144.97398,15,5055.37,Summer,True,1.7556,"the battery life. i ordered on line one of these lumia 950 and recieved it in may this year (2018) and find that the battery life is very ""poor"",i have to recharge it at least three times a day,and the speaker phone is very low. i would not recommend it to any one.",0.0
ORD387536,ID1725216852,2019-06-01,Thompson,"[('Alcon 10', 2), ('Lucent 330S', 2)]",20360.0,81.1,-37.8062509,144.9598532,5,19423.1,Winter,True,1.3324,i bought this for my wife to replace her old candle and she loves it. much easier to read than an ipad and updated features make it a great purchase.,1.0
ORD357177,ID0702352313,2019-02-27,Thompson,"[('Thunder line', 1), ('Olivia x460', 1), ('iStream', 1)]",3555.0,74.67037937906512,-37.80532879999999,144.9416103,10,3274.1703793790653,Summer,False,0.9481,i love the camera on this thing i love the camera on this thing! i want to do nothing but take pics and videos all day.,1.0
ORD273330,ID4520380495,2019-03-02,Thompson,"[('Universe Note', 2), ('Alcon 10', 1), ('Toshika 750', 2), ('pearTV', 2)]",37110.0,50.88,-37.8092714,144.95530180000003,0,37160.88,Autumn,False,0.8171,took product back and was told that in order to get assistance the geek squad would have to help me at my home and be charged for the service. i decided we didn't need the product that badly so took it back for a refund.,0.0
ORD262259,ID2353534946,2019-01-27,Thompson,"[('iStream', 1), ('Thunder line', 2), ('Alcon 10', 2)]",22410.0,107.71,-37.800036,144.9633442,0,22517.71,Summer,True,2.006952594729648,"five stars great phone, great price!",1.0
ORD109025,ID0655124876,2019-04-19,Thompson,"[('pearTV', 1), ('iStream', 2), ('iAssist Line', 1)]",8835.0,62.84,-37.8074851,144.9421481,0,8897.84,Autumn,True,0.7217,do not buy edge cellular are slow worthless response worse customer service ever. phone is locked to sprint. sprint even told me it was locked but idiots at edge cellular says it's not. can not unlock phone without original number or pin. do not buy anything from edge cellular.,0.0
ORD483358,ID1132023814,2019-08-06,Thompson,"[('Toshika 750', 1), ('Lucent 330S', 2), ('pearTV', 1)]",13090.0,60.36,-37.8173553,144.946046,10,11841.36,Winter,True,0.5289,"ripped off, worked for 5 months. after 5 months , got the black screen of death, what a terrible waste of money, rip off",0.0
ORD349514,ID4909776700,2019-01-31,Bakers,"[('Candle Inferno', 2), ('iStream', 2), ('Thunder line', 1), ('Lucent 330S', 2)]",5800.0,100.13,-37.8237263,145.0002248,5,5610.13,Summer,True,1.5902,love it! love my new phone. could not ask for anything nicer.,1.0
ORD289965,ID0711333462,2019-01-05,Thompson,"[('Lucent 330S', 2), ('Alcon 10', 1), ('Thunder line', 1), ('Candle Inferno', 2)]",14450.0,74.82,-37.8065317,144.9571102,15,12357.32,Summer,False,1.1168,love the thunder line it’s amaxing!!!,1.0
ORD442632,ID3427761887,2019-10-30,Bakers,"[('Toshika 750', 2), ('Thunder line', 1)]",10820.0,74.24,-37.8055058,144.99788600000005,5,10353.24,Spring,False,0.5517,no windows 10 mobile support? no bueno. great phone for the price. only downside is that microsoft has capped out the lumia model's which support windows 10 mobile.,1.0
ORD145724,ID0269327967,2019-10-28,Nickolson,"[('Thunder line', 2), ('iAssist Line', 2), ('Candle Inferno', 2), ('Toshika 750', 2)]",18310.0,105.51,-37.8167832,144.9820794,15,15669.01,Spring,True,1.12,good if you want something inexpensive and will do the minimum very well.,1.0
ORD156686,ID2948774581,2019-12-04,Nickolson,"[('iStream', 2), ('iAssist Line', 1), ('Candle Inferno', 2)]",3385.0,61.74,-37.8087626,144.97188789999996,25,2600.49,Summer,False,1.1136,"thunder simply did not do anything it was advertised to do. basic weather was sporadic and more detailed questions resulted in ""cannot find response"".",0.0
ORD199020,ID3106293103,2019-01-08,Thompson,"[('iAssist Line', 2), ('Toshika 750', 1)]",8770.0,99.95,-37.8062363,144.9324545,0,8869.95,Summer,True,1.4715,"its a good phone just small for what i thought it would ... its a good phone just small for what i thought it would be,",1.0
ORD486680,ID0126932343,2019-01-25,Nickolson,"[('iAssist Line', 2), ('Lucent 330S', 1)]",5680.0,89.39,-37.8162141,144.9659806,10,5201.39,Summer,True,0.4109,i purchased this for my mom for christmas and she loves it!,1.0
ORD330189,ID1479928123,2019-11-08,Thompson,"[('Alcon 10', 1), ('Thunder line', 1)]",11130.0,79.3450122302392,-37.8211811,144.955306,10,10096.345012230238,Spring,False,1.1923,great phone i'm not a social media person just use my phone for basic use and this phone is perfect for me and the quality and price are great,1.0
ORD151485,ID3790949319,2019-10-23,Thompson,"[('Thunder line', 1), ('Alcon 10', 2), ('Toshika 750', 2)]",28720.0,89.16,-37.8052448,144.93730530000005,25,21629.16,Spring,True,1.1921,"don't buy it. never totally worked. geek couldn't fix it, neither tracfone. now won't turn off, accept internet. everything now a failure. less than a month after purchase",0.0
ORD372180,ID1833110269,2019-02-05,Nickolson,"[('iAssist Line', 2), ('Universe Note', 2), ('Olivia x460', 1)]",12575.0,86.63,-37.8180945,144.9650143,5,12032.88,Summer,True,0.4028,nice phone. worked as advertised. facial recognition doesn’t work in the dark.,1.0
