order_id,customer_id,date,nearest_warehouse,shopping_cart,order_price,delivery_charges,customer_lat,customer_long,coupon_discount,order_total,season,is_expedited_delivery,distance_to_nearest_warehouse,latest_customer_review,is_happy_customer
ORD351831,ID5957906942,2019-03-01,Nickolson,"[('Thunder line', 1), ('iStream', 2), ('Universe Note', 2), ('pearTV', 1)]",15690,69.36,-37.8013732,144.9743139,25,11836.86,Autumn,False,1.9623,"great christmas gift one of the best phones in the market. alcon has nothing on this android device. very, very fast. perfect gift.",True
ORD296439,ID2975229844,2019-06-27,Thompson,"[('Toshika 750', 2), ('iStream', 2), ('Thunder line', 1)]",11120,54.47,-37.80022460000001,144.9582514,25,8394.47,Winter,False,1.6993,don't buy this phone after around 6 months of using this phone it got stuck in a reboot loop if you don't know what that is it basically restart over and over again and it won't stop.,False
ORD136815,ID0847528391,2019-07-16,Nickolson,"[('iStream', 2), ('Universe Note', 1)]",3750,46.53,-37.8233887,144.967428,0,3796.53,Winter,False,0.5653,had to return bought for my granddaughter but had to return. it was faulty.,False
ORD221680,ID0579402454,2019-10-22,Nickolson,"[('Toshika 750', 2), ('iAssist Line', 2), ('Alcon 10', 1)]",22040,98.98,-37.8188581,144.9741129,10,19934.98,Spring,True,0.4022,you get lower price from google store good.,True
ORD183433,ID0634783038,2019-01-19,Thompson,"[('Alcon 10', 2), ('Thunder line', 1)]",20080,72.41,-37.8117713,144.9392675,15,17140.41,Summer,False,0.6934,one of the better phones of 2019 great quality phone,True
ORD290619,ID0575374795,2019-02-05,Nickolson,"[('Thunder line', 1), ('iAssist Line', 1), ('Olivia x460', 1)]",5630,98.01,-37.8193867,144.9839013,5,5446.51,Summer,True,1.265,i purchased this tablet for my niece for christmas and she love it.,True
ORD176773,ID3215191981,2019-01-30,Thompson,"[('iAssist Line', 1), ('Universe Note', 1)]",5675,72.62,-37.8067936,144.9534191,10,5180.12,Summer,False,0.8604,great phone olivia s9 is working perfect!,True
ORD284476,ID4754200370,2019-09-29,Thompson,"[('pearTV', 2), ('iAssist Line', 1), ('Lucent 330S', 2)]",17305,82.82,-37.8150478,144.9275946,0,17387.82,Spring,False,1.7329,"like new el telefono esta like new!!! funcionamiento perfecto, quizas la vida util de la bateria no es la del cel nuevo, pero diria que esta al 85%.... con gran uso de redes sociales me alcanza 12 horas sin recargar",True
ORD449795,ID4876983677,2019-05-25,Thompson,"[('Toshika 750', 2), ('Candle Inferno', 2), ('iAssist Line', 2), ('Universe Note', 2)]",20850,68.16,-37.8156809,144.9352941,0,20918.16,Autumn,False,1.0883,"so great! love my new phone - clarity, functionality, pictures, size of screen/phone. phone condition as advertised. so great!",True
ORD410186,ID2180785597,2019-08-09,Nickolson,"[('Alcon 10', 2), ('Universe Note', 1)]",21350,48.78,-37.8169685,144.961547,0,21398.78,Winter,False,0.7268,"not ""like new"" malfunctioned since i received it. ""certified refurbished"" ""like new"" - in no way is it like new. constantly froze, constantly had to remove the battery in order to restart the phone.",False
ORD292314,ID1148837660,2019-12-02,Bakers,"[('Alcon 10', 1), ('Lucent 330S', 2), ('Toshika 750', 1), ('iStream', 2)]",16030,83.8,-37.8007265,144.9843237,5,15312.3,Summer,True,1.409,bad screen screen issue within a year.,False
ORD338602,ID2304718102,2019-01-11,Thompson,"[('iAssist Line', 2), ('Universe Note', 1), ('Candle Inferno', 1), ('iStream', 2)]",8630,68.44,-37.8164523,144.949172,0,8698.44,Summer,False,0.4595,love it.. makes the simple things in life simpler,True
ORD494474,ID0576860055,2019-10-15,Bakers,"[('iStream', 1), ('pearTV', 2), ('Candle Inferno', 1)]",13200,109.41,-37.8246942,144.98897309999995,10,11989.41,Spring,True,1.7262,five stars very nice phone,True
ORD023914,ID6167440953,2019-12-20,Nickolson,"[('pearTV', 1), ('Olivia x460', 2), ('Alcon 10', 2)]",26660,55.03,-37.8161476,144.9639035,5,25382.03,Summer,False,0.5664,one star was not as described in the picture,False
ORD449429,ID0571731473,2019-04-19,Thompson,"[('iStream', 1), ('Alcon 10', 1)]",9100,68.66,-37.8243246,144.9439659,10,8258.66,Autumn,False,1.3254,three stars great phone camera sucks! i want my alcon back!,True
ORD088736,ID0247028711,2019-02-25,Nickolson,"[('Lucent 330S', 2), ('Thunder line', 2), ('Alcon 10', 2), ('Toshika 750', 1)]",29040,68.04,-37.8155341,144.970186,10,26204.04,Summer,False,0.3453,hits the spot did have some small bugs at first and the system ui can take a while to get used to but it’s worth it for the money specs are great,True
ORD176265,ID1668524004,2019-07-12,Thompson,"[('Olivia x460', 1), ('Candle Inferno', 1)]",1655,66.98,-37.8261076,144.9491163,25,1308.23,Winter,True,1.5063,it's only good for getting stolen. bought it brand new from pear website. 7 months later it was stolen. cops can trace it to brownsville brooklyn but can't recover it. it's locked and as useless as a paperweight. alcons suck in many ways. they're only good for getting stolen. but i guess some people just like the white color if it.,False
ORD413904,ID2288769462,2019-07-19,Bakers,"[('iAssist Line', 2), ('Alcon 10', 1), ('Thunder line', 2)]",17760,78.92,-37.801905,145.00343569999995,15,15174.92,Winter,True,1.154,muy buena compra esta en perfecta condiciones,True
ORD004117,ID0168396901,2019-08-08,Nickolson,"[('Candle Inferno', 1), ('pearTV', 2), ('Thunder line', 1), ('Toshika 750', 1)]",19550,53.16,-37.8114081,144.9613741,0,19603.16,Winter,False,1.0757,two stars batt. life not good,False
ORD099253,ID6167265879,2019-10-15,Nickolson,"[('iAssist Line', 1), ('Candle Inferno', 2), ('Lucent 330S', 2), ('Olivia x460', 2)]",7995,85.43,-37.8134705,144.9657344,10,7280.93,Spring,True,0.6619,disapointed im excited for my phone to arrive but when i recieve the phone i was very disapointed the scratch was to much i know that this is renew phone but not like this its like a garbage,False
ORD025401,ID0560997116,2019-11-06,Thompson,"[('Candle Inferno', 2), ('pearTV', 1), ('Toshika 750', 1), ('Lucent 330S', 1)]",12720,87.56,-37.8106913,144.9364149,10,11535.56,Spring,True,0.9626,"slow, laggy. slow and laggy. how is a phone this crappy and simple slow and laggy. i don't get it. buy it, if you must.",False
ORD120430,ID2191736650,2019-05-08,Nickolson,"[('Olivia x460', 1), ('Toshika 750', 1), ('Alcon 10', 1), ('Lucent 330S', 1)]",15725,80.21,-37.8225205,144.9555842,15,13446.46,Autumn,True,1.3036,five stars good prompt nice liked it,True
ORD139012,ID0035285652,2019-02-06,Thompson,"[('Thunder line', 2), ('Alcon 10', 1)]",13310,78.1,-37.803274,144.9556341,0,13388.1,Summer,False,1.2893,nice! i love this phone. it's great,True
ORD272995,ID0591435981,2019-11-08,Nickolson,"[('pearTV', 1), ('iAssist Line', 2)]",10760,97.61,-37.8186975,144.9657741,0,10857.61,Spring,True,0.3323,"good deal, great product! this phone has worked flawlessly and was a great deal.",True
ORD044554,ID4794459428,2019-02-12,Thompson,"[('pearTV', 1), ('iAssist Line', 2), ('Lucent 330S', 1), ('Olivia x460', 1)]",13215,79.54,-37.80445170000001,144.934518,0,13294.54,Summer,False,1.4339,"slow battery charging charging the battery of lucentrola g6 play from 0 to 100 percent takes too long, more than three hours and this can give you 12 to 24 hours of use. if the phone is on idle mode the battery can last up to 42 hours. all other features of the phone are okay.",True
ORD204212,ID6167231018,2019-02-18,Thompson,"[('Thunder line', 2), ('Lucent 330S', 2)]",6820,89.02,-37.8152716,144.9523118,15,5886.02,Summer,True,0.5443,great phone love the phone but los cortana when i upgraded :-(,True
ORD093119,ID0248746957,2019-01-09,Bakers,"[('Alcon 10', 1), ('pearTV', 2), ('Lucent 330S', 2), ('iStream', 2)]",24330,83.73,-37.819538,144.98972619999995,10,21980.73,Summer,True,1.1673,"a nearly non-functional piece of junk. memory management is terrible on this phone. it constantly seizes up due to notifications, etc. locks up for randon amounts of time when you go to start an application. battery life is awful just letting the phone idle. a real pos with the exception that the hardware/chassis seems well constructed.",False
ORD172207,ID0580158980,2019-03-23,Thompson,"[('Universe Note', 2), ('Candle Inferno', 2)]",7760,82.52,-37.7996716,144.93703440000004,0,7842.52,Autumn,True,1.6952,very nice phone for a low price i was concerned about the battery life and it is great. the phone is fast and no bloatware!,True
ORD358992,ID0580000893,2019-11-27,Thompson,"[('pearTV', 1), ('Toshika 750', 1)]",10630,67.01,-37.8060456,144.93147050000005,15,9102.51,Spring,False,1.5576,worked great for about ten days but then started misbehaving i was so hoping this would work tho i was sceptical. still not sure if my phone was new or reconditioned.worked great for about ten days but then started misbehaving .correction after correction since then right up to now returning. very disappointed.,False
